name,value,timestamp,host
bandwidth_mbps,379.5,1700000000.0,router-01
bandwidth_mbps,363.82,1700000060.0,router-01
bandwidth_mbps,367.04,1700000120.0,router-01
bandwidth_mbps,379.52,1700000180.0,router-01
bandwidth_mbps,355.66,1700000240.0,router-01
bandwidth_mbps,368.45,1700000300.0,router-01
bandwidth_mbps,371.72,1700000360.0,router-01
bandwidth_mbps,337.06,1700000420.0,router-01
bandwidth_mbps,379.69,1700000480.0,router-01
bandwidth_mbps,350.0,1700000540.0,router-01
bandwidth_mbps,352.06,1700000600.0,router-01
bandwidth_mbps,302.8,1700000660.0,router-01
bandwidth_mbps,328.04,1700000720.0,router-01
bandwidth_mbps,365.79,1700000780.0,router-01
bandwidth_mbps,372.59,1700000840.0,router-01
bandwidth_mbps,387.14,1700000900.0,router-01
bandwidth_mbps,399.4,1700000960.0,router-01
bandwidth_mbps,419.2,1700001020.0,router-01
bandwidth_mbps,366.87,1700001080.0,router-01
bandwidth_mbps,372.38,1700001140.0,router-01
bandwidth_mbps,370.65,1700001200.0,router-01
bandwidth_mbps,334.82,1700001260.0,router-01
bandwidth_mbps,398.75,1700001320.0,router-01
bandwidth_mbps,327.38,1700001380.0,router-01
bandwidth_mbps,381.65,1700001440.0,router-01
bandwidth_mbps,367.73,1700001500.0,router-01
bandwidth_mbps,324.31,1700001560.0,router-01
bandwidth_mbps,417.02,1700001620.0,router-01
bandwidth_mbps,391.2,1700001680.0,router-01
bandwidth_mbps,373.04,1700001740.0,router-01
bandwidth_mbps,389.26,1700001800.0,router-01
bandwidth_mbps,411.49,1700001860.0,router-01
bandwidth_mbps,414.61,1700001920.0,router-01
bandwidth_mbps,435.48,1700001980.0,router-01
bandwidth_mbps,409.83,1700002040.0,router-01
bandwidth_mbps,349.88,1700002100.0,router-01
bandwidth_mbps,334.6,1700002160.0,router-01
bandwidth_mbps,456.59,1700002220.0,router-01
bandwidth_mbps,374.41,1700002280.0,router-01
bandwidth_mbps,391.85,1700002340.0,router-01
bandwidth_mbps,388.69,1700002400.0,router-01
bandwidth_mbps,416.17,1700002460.0,router-01
bandwidth_mbps,382.76,1700002520.0,router-01
bandwidth_mbps,413.41,1700002580.0,router-01
bandwidth_mbps,408.04,1700002640.0,router-01
bandwidth_mbps,377.6,1700002700.0,router-01
bandwidth_mbps,370.58,1700002760.0,router-01
bandwidth_mbps,330.2,1700002820.0,router-01
bandwidth_mbps,391.79,1700002880.0,router-01
bandwidth_mbps,384.9,1700002940.0,router-01
bandwidth_mbps,390.64,1700003000.0,router-01
bandwidth_mbps,356.3,1700003060.0,router-01
bandwidth_mbps,391.51,1700003120.0,router-01
bandwidth_mbps,414.13,1700003180.0,router-01
bandwidth_mbps,373.98,1700003240.0,router-01
bandwidth_mbps,340.78,1700003300.0,router-01
bandwidth_mbps,390.72,1700003360.0,router-01
bandwidth_mbps,445.18,1700003420.0,router-01
bandwidth_mbps,415.95,1700003480.0,router-01
bandwidth_mbps,412.8,1700003540.0,router-01
bandwidth_mbps,337.47,1700003600.0,router-01
bandwidth_mbps,424.78,1700003660.0,router-01
bandwidth_mbps,322.36,1700003720.0,router-01
bandwidth_mbps,419.37,1700003780.0,router-01
bandwidth_mbps,414.07,1700003840.0,router-01
bandwidth_mbps,390.46,1700003900.0,router-01
bandwidth_mbps,398.6,1700003960.0,router-01
bandwidth_mbps,383.14,1700004020.0,router-01
bandwidth_mbps,454.4,1700004080.0,router-01
bandwidth_mbps,384.8,1700004140.0,router-01
bandwidth_mbps,432.64,1700004200.0,router-01
bandwidth_mbps,403.52,1700004260.0,router-01
bandwidth_mbps,370.55,1700004320.0,router-01
bandwidth_mbps,427.75,1700004380.0,router-01
bandwidth_mbps,416.35,1700004440.0,router-01
bandwidth_mbps,432.75,1700004500.0,router-01
bandwidth_mbps,386.12,1700004560.0,router-01
bandwidth_mbps,403.08,1700004620.0,router-01
bandwidth_mbps,439.51,1700004680.0,router-01
bandwidth_mbps,424.3,1700004740.0,router-01
