name,value,timestamp,host
error_rate,0.13,1700000000.0,web-01
error_rate,0.08,1700000060.0,web-01
error_rate,0.39,1700000120.0,web-01
error_rate,0.75,1700000180.0,web-01
error_rate,0.94,1700000240.0,web-01
error_rate,0.26,1700000300.0,web-01
error_rate,0.57,1700000360.0,web-01
error_rate,0.44,1700000420.0,web-01
error_rate,0.07,1700000480.0,web-01
error_rate,0.32,1700000540.0,web-01
error_rate,0.28,1700000600.0,web-01
error_rate,0.23,1700000660.0,web-01
error_rate,2.06,1700000720.0,web-01
error_rate,0.13,1700000780.0,web-01
error_rate,0.24,1700000840.0,web-01
error_rate,0.25,1700000900.0,web-01
error_rate,0.08,1700000960.0,web-01
error_rate,0.6,1700001020.0,web-01
error_rate,0.06,1700001080.0,web-01
error_rate,0.07,1700001140.0,web-01
error_rate,0.92,1700001200.0,web-01
error_rate,1.45,1700001260.0,web-01
error_rate,1.76,1700001320.0,web-01
error_rate,0.08,1700001380.0,web-01
error_rate,0.87,1700001440.0,web-01
error_rate,0.05,1700001500.0,web-01
error_rate,0.58,1700001560.0,web-01
error_rate,0.37,1700001620.0,web-01
error_rate,0.08,1700001680.0,web-01
error_rate,0.72,1700001740.0,web-01
error_rate,0.49,1700001800.0,web-01
error_rate,0.11,1700001860.0,web-01
error_rate,0.67,1700001920.0,web-01
error_rate,0.69,1700001980.0,web-01
error_rate,0.31,1700002040.0,web-01
error_rate,0.3,1700002100.0,web-01
error_rate,0.71,1700002160.0,web-01
error_rate,0.07,1700002220.0,web-01
error_rate,0.07,1700002280.0,web-01
error_rate,0.17,1700002340.0,web-01
error_rate,0.16,1700002400.0,web-01
error_rate,0.38,1700002460.0,web-01
error_rate,0.1,1700002520.0,web-01
error_rate,1.45,1700002580.0,web-01
error_rate,1.53,1700002640.0,web-01
error_rate,0.93,1700002700.0,web-01
error_rate,0.36,1700002760.0,web-01
error_rate,0.14,1700002820.0,web-01
error_rate,0.21,1700002880.0,web-01
error_rate,0.64,1700002940.0,web-01
error_rate,0.86,1700003000.0,web-01
error_rate,0.04,1700003060.0,web-01
error_rate,0.39,1700003120.0,web-01
